testName,graphID,strength,criteria,noOfNodes,noOfEdges,entitySetGenerationTime,noOfEntities,testSuiteSize,testSuiteGenerationTime,totalPathLength,averagePathLength
Test-103-1,2,2,t*_cover,36,51,0.0008709431,1241,16.3333333333,8.9100242456,894,54.7346938777
Test-103-1,3,2,t*_cover,48,113,0.0015249252,2322,17.6666666667,11.7187983195,1223.33333333,69.2452830185
Test-103-1,4,2,t*_cover,257,665,0.0440399647,65693,317.333333333,2580.89645648,89499,282.0346638658
Test-103-1,5,2,t*_cover,75,150,0.0036141872,5552,37,28.0064810117,3518.33333333,95.09009009
Test-103-1,6,2,t*_cover,15,24,0.0002200603,157,9.6666666667,5.0924613476,149,15.4137931034
Test-103-2,0,2,t*_cover,3,2,5.31673431396E-05,3,1,1.0177912712,2,2
Test-103-2,1,2,t*_cover,31,42,0.0008080006,942,13.6666666667,6.8128369649,554.666666667,40.5853658536
Test-103-2,2,2,t*_cover,49,85,0.0016150475,2389,34.6666666667,22.6052533786,2122.66666667,61.2307692308
Test-103-2,3,2,t*_cover,97,203,0.006483078,8507,74,79.457750241,5934.33333333,80.1936936936
Test-103-2,4,2,t*_cover,231,596,0.0369589329,53040,87.3333333333,795.275848945,25180.6666667,288.3282442753
Test-103-2,5,2,t*_cover,76,155,0.0036332607,5780,38.6666666667,29.3392307758,3644.66666667,94.2586206897
Test-103-2,6,2,t*_cover,11,18,0.0001182556,87,6.6666666667,4.1227139632,83,12.45
Test-103-4,0,2,t*_cover,3,2,4.86373901367E-05,3,1,0.8542452653,2,2
Test-103-4,1,2,t*_cover,34,48,0.0008888245,1137,14,7.5648463567,681.666666667,48.6904761905
Test-103-4,2,2,t*_cover,60,107,0.0049908161,3588,71,45.471808672,4932,69.4647887324
Test-103-4,3,2,t*_cover,99,205,0.0053591728,8351,40.6666666667,37.3996693293,4665.33333333,114.7213114752
Test-103-4,4,2,t*_cover,99,207,0.0057110786,8879,66.3333333333,73.1387310028,5445,82.0854271357
Test-103-4,5,2,t*_cover,11,18,0.0001330376,87,5.6666666667,3.5437900225,72.3333333333,12.7647058823
Test-103-5,0,2,t*_cover,3,2,5.29289245606E-05,3,1,1.0439360937,2,2
Test-103-5,1,2,t*_cover,91,184,0.0057210922,7432,57,53.0685327053,4696.66666667,82.3976608188
Test-103-5,2,2,t*_cover,42,69,0.0012550354,1750,15.3333333333,8.7568000953,843,54.9782608697
Test-103-5,3,2,t*_cover,80,145,0.0060391426,6386,147.666666667,113.264016072,10362,70.1715575619
Test-103-5,4,2,t*_cover,109,235,0.0074899197,11899,50,51.4976576964,6215,124.3
Test-103-5,5,2,t*_cover,11,18,0.0001380444,87,5.6666666667,3.9259839853,63.6666666667,11.2352941176
Test-103-7,0,2,t*_cover,89,183,0.0061368942,7095,59.3333333333,57.3279286226,4767.66666667,80.3539325844
Test-103-7,1,2,t*_cover,3,2,5.31673431397E-05,3,1,1.0392812888,2,2
Test-103-7,2,2,t*_cover,34,48,0.0008249283,1137,15.3333333333,8.029853344,705.333333333,46.0000000001
Test-103-7,3,2,t*_cover,44,74,0.001294136,1923,19.6666666667,14.9317069849,1144,58.1694915253
Test-103-7,4,2,t*_cover,220,554,0.0338521004,48081,91,615.618938367,23397.3333333,257.1135531132
Test-103-7,5,2,t*_cover,97,206,0.0060539246,9422,41.6666666667,35.8970163663,4900.66666667,117.616
Test-103-7,6,2,t*_cover,11,18,0.0001459122,87,6.3333333333,3.8065666358,77.3333333333,12.2105263158
Test-103-8,0,2,t*_cover,3,2,3.62396240235E-05,3,1,0.8458956083,2,2
Test-103-8,1,2,t*_cover,168,397,0.0194959641,28286,53.6666666667,175.626391252,10748.6666667,200.2857142862
Test-103-8,2,2,t*_cover,385,758,0.1137342453,148214,2946,12090.2514816,256146,86.9470468432
Test-103-8,3,2,t*_cover,13,18,0.0002689362,162,6.6666666667,3.2610812982,111.333333333,16.6999999999
Test-103-8,4,2,t*_cover,97,197,0.0057561398,8501,50.3333333333,50.0985846519,4543.33333333,90.2649006622
Test-103-8,5,2,t*_cover,91,207,0.0055897236,8307,40.6666666667,37.497957627,4493.66666667,110.5
Test-103-8,6,2,t*_cover,11,18,0.0001502037,87,7.6666666667,3.9286287626,93.3333333333,12.1739130435
Test-105-1,0,2,t*_cover,69,123,0.0059370995,4235,25.3333333333,21.890583992,2088,82.4210526317
Test-105-1,2,2,t*_cover,3,2,6.29425048828E-05,3,1,0.8756143252,2,2
Test-105-1,3,2,t*_cover,15,27,0.0002350807,176,8,4.8115027746,122.333333333,15.2916666666
Test-105-1,4,2,t*_cover,50,92,0.001585722,2220,22.6666666667,14.9333247344,1139.33333333,50.2647058821
Test-105-1,5,2,t*_cover,13,20,0.0001320839,110,5.6666666667,4.1612256368,78.3333333333,13.8235294118
Test-107-1,0,2,t*_cover,52,96,0.0017929077,2322,20,15.9706404209,1134,56.7
Test-107-1,1,2,t*_cover,23,29,0.0004222393,513,14.3333333333,7.3993442853,471,32.8604651164
Test-107-1,2,2,t*_cover,291,788,0.0616259575,84312,370.333333333,5571.57354895,104602,282.4536453648
Test-107-1,3,2,t*_cover,16,18,0.0002810955,243,3.3333333333,1.5835946401,97.3333333333,29.2
Test-107-1,4,2,t*_cover,156,382,0.0153961182,24407,89,289.305760304,14646,164.5617977528
Test-107-1,5,2,t*_cover,120,252,0.0080571175,12659,41.3333333333,54.2106360594,5683,137.491935484
Test-107-1,6,2,t*_cover,15,24,0.0002026558,157,9.6666666667,5.1341643333,156.333333333,16.1724137931
Test-107-2,0,2,t*_cover,74,141,0.0033650398,5184,21.6666666667,16.7777803739,2129.33333333,98.2769230766
Test-107-2,1,2,t*_cover,16,18,0.000232935,243,3.3333333333,1.5099739234,110.666666667,33.2000000001
Test-107-2,2,2,t*_cover,293,789,0.0561020374,85473,114,2604.85487024,38642,338.9649122807
Test-107-2,3,2,t*_cover,85,158,0.0045552254,7214,38.3333333333,27.7534403801,3764.33333333,98.2
Test-107-2,4,2,t*_cover,25,34,0.0004460812,463,8.6666666667,7.0305929979,300,34.6153846154
Test-107-2,5,2,t*_cover,11,18,0.0001101494,87,6.3333333333,3.3342466354,68.6666666667,10.8421052632
Test-107-3,0,2,t*_cover,74,140,0.0042278767,5183,21.6666666667,16.9625623226,2093.33333333,96.6153846151
Test-107-3,1,2,t*_cover,18,21,0.0002830029,310,5.6666666667,2.822590669,206.333333333,36.4117647058
Test-107-3,2,2,t*_cover,9,8,7.20024108887E-05,36,1,3.2209002177,8,8
Test-107-3,3,2,t*_cover,92,186,0.0053920746,8467,37,32.1878109773,4304,116.3243243243
Test-107-3,4,2,t*_cover,35,49,0.0006418228,779,10,8.3112403552,385.666666667,38.5666666667
